Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
2,Gravity,Hard,Why can usual stopwatches impart unwanted errors in gravity experiments?,Low battery,Mechanical failure,Human reaction time delay,Screen glare,C,The use of usual stopwatches can impart unwanted errors due to human reaction time delay.
2,Gravity,Medium,Which smartphone application was used to accurately determine acceleration due to gravity?,Phyphox,Google Maps,Calculator,Stopwatch,A,We resulted in the use of smartphone applications like phyphox to get a more accurate way to determine acceleration due to gravity.
2,Gravity,Hard,What does Equation 13 ($h = 1/2 gt^2$) represent?,Velocity of a fall,Height of a falling object,Mass of the Earth,Time of rotation,B,"Equation 13 shows that height (h) equals 1/2 multiplied by gravity (g) and time squared (t^2)."
2,Gravity,Hard,What is the formula used to calculate experimental gravity ($g_{experimental}$)?,g = h/t,g = 2h/t^2,g = mgh,g = Fd,B,"Experimental gravity is calculated using the formula $g_{experimental} = 2h/t^2$."
2,Work and Energy,Medium,Work is only done if the distance moved is in which direction?,Opposite the force,Perpendicular to the force,Direction of the force,Any direction,C,"The distance moved must be in the direction of the force."
2,Gravity,Easy,True or False: Earth's gravity is the same strength regardless of your altitude.,True,False,, ,B,The strength varies depending on how far the object is from the center of the Earth.
2,Gravity,Medium,What does a gravitational field show about a mass?,Its chemical makeup,How much it can pull other objects,Its age,Its temperature,B,"A gravitational field shows how much an object can pull other objects toward it using gravity at a point."
2,Work and Energy,Medium,If Equation 10 states W = Delta U -- what does 'Delta U' mean?,Total Energy,Change in Potential Energy,Constant Gravity,Distance squared,B,"Delta U represents a change in gravitational potential energy."
2,Gravity,Hard,Phyphox uses which part of the phone to measure gravity?,The camera,On-board sensors,The microphone,The battery,B,Applications like phyphox take advantage of a phone's on-board sensors for more accurate data.
2,Kinetic Energy,Easy,What does the Greek word 'kinetikos' mean?,Mass,Motion,Force,Energy,B,"Kinetic energy is derived from the Greek word kinetikos, which means motion."
2,Kinetic Energy,Medium,If an object's speed is doubled while its mass remains the same -- its kinetic energy increases by?,Two times,Three times,Four times,Eight times,C,"Kinetic energy is related to the squared value of speed; doubling speed results in four times the energy."
2,Kinetic Energy,Hard,Which formula is used to calculate Kinetic Energy?,KE = mgh,KE = 1/2 mv^2,KE = Fd,KE = 2h/t^2,B,"The mathematical expression for kinetic energy is KE = 1/2 mv^2."
2,Potential Energy,Easy,What is energy that is stored in an object called?,Kinetic Energy,Potential Energy,Thermal Energy,Mechanical Energy,B,"Potential energy is defined as energy that is stored in an object."
2,Potential Energy,Medium,Lifting an object higher against gravity results in?,Loss of energy,Increase in GPE,Decrease in mass,Constant velocity,B,"Moving an object higher against gravity increases its gravitational potential energy."
2,Potential Energy,Hard,What is the quantified equation for Gravitational Potential Energy (GPE)?,GPE = 1/2 mv^2,GPE = Fd,GPE = mgh,GPE = mg,C,"Gravitational potential energy is quantified using the equation GPE = mgh."
2,Potential Energy,Medium,What is the standard reference level where GPE is typically zero?,The center of the Earth,The Earth's surface,The top of the atmosphere,Infinite distance,B,"We usually measure an object's GPE relative to the surface of the Earth."
2,Gravity,Easy,How does Earth's gravitational acceleration change as you move farther from its center?,It gets stronger,It stays constant,It gets weaker,It turns into magnetism,C,"The farther you are from the center, the weaker the acceleration imparted by Earth."
2,Gravity,Medium,What is a common source of error when using stopwatches to measure gravity?,Battery life,Mechanical failure,Human reaction time delay,Screen brightness,C,"Stopwatches can impart unwanted errors due to human reaction time delay."
2,Gravity,Hard,Which app uses on-board sensors to accurately determine acceleration due to gravity?,Google Maps,Phyphox,Calculator,Stopwatch,B,"Smartphone applications like phyphox use on-board sensors for accurate gravity determination."
2,Gravity,Hard,What is the formula used to calculate experimental gravity (g)?,g = h/t,g = 2h/t^2,g = mgh,g = Fd,B,"Experimental gravity is calculated using the formula g = 2h/t^2."
2,Work and Energy,Easy,How is energy defined in the provided lesson?,The speed of motion,The ability to do work,The amount of matter,The rate of heat loss,B,"Energy is defined as the ability to do work."
2,Work and Energy,Medium,Mathematically -- what is the formula for work (W)?,W = mgh,W = Fd,W = 1/2mv^2,W = P/t,B,"Work is expressed as W = Fd, where F is force and d is distance."
2,Work and Energy,Hard,When lifting an object vertically at a constant speed -- the applied force is equal to?,Acceleration,Displacement,The object's weight (mg),Potential Energy,C,"When lifted at constant speed, the applied force is equal to the object's weight (mg)."
2,Work and Energy,Hard,According to the work-energy theorem -- work done results in a change in?,Mass,Energy,Time,Velocity,B,"The work-energy theorem states that work done results in a change in energy."
2,Work and Energy,Medium,By substituting F = mg into W = Fd -- what formula do we get for vertical work?,W = mad,W = mgd,W = F/m,W = 1/2gh,B,"Substituting weight into the work formula gives W = mgd."
2,Gravitational Field,Easy,What is a force field or region of space around a mass called?,Electric field,Magnetic field,Gravitational field,Vacuum,C,"A gravitational field is a force field or region of space around a mass."
2,Gravitational Field,Medium,Any object with mass (M) sets up a gravitational field ____.,Only when moving,Around itself,Only in a vacuum,Only if it is a planet,B,"Any object with mass (M) sets up a gravitational field around itself."
2,Gravitational Field,Hard,When is a gravitational field considered unnoticeable?,When moving fast,When the object is alone,When the mass is small,In a vacuum,B,"The gravitational field is unnoticeable when the object is alone."
2,Gravitational Field,Medium,What determines the strength and direction of the pull on mass (m)?,The speed of mass (M),The field at that spot,The age of the mass,The temperature of space,B,"The strength and direction of the pull depend on the gravitational field at that spot."
2,Heat Transfer,Easy,In which direction does heat always move?,Cold to hot,Hot to cold,Sideways only,It stays in place,B,"Heat always moves from something hot to something cold."
2,Heat Transfer,Medium,Which method of heat transfer involves direct contact between solids?,Convection,Radiation,Conduction,Insulation,C,"Conduction is when heat moves through solids by direct contact."
2,Heat Transfer,Medium,Warm air rising and cool air sinking is an example of?,Conduction,Convection,Radiation,Evaporation,B,"Convection is when heat moves through liquids or gases, like warm air rising."
2,Heat Transfer,Hard,How does the sun's warmth reach Earth through the vacuum of space?,Conduction,Convection,Radiation,Friction,C,"Radiation is when heat moves in invisible waves, even if objects aren’t touching."
2,Heat Transfer,Easy,Touching a hot metal spoon is an example of which heat transfer?,Conduction,Convection,Radiation,Sublimation,A,"Touching a hot spoon is a classic example of conduction through direct contact."
2,Heat Transfer,Medium,How do we perceive feeling 'cold'?,Heat entering the skin,Heat leaving the skin,Air pressure,Humidity,B,"We feel hot or cold based on how fast heat enters or leaves our skin."
2,Heat Transfer,Hard,If you put butter on different spoons to see which melts first you are testing?,Radiation,Conduction,Convection,Magnetism,B,"Putting butter on spoons helps you see how heat moves through solids via conduction."
2,Heat Transfer,Easy,Heat transfer through invisible waves is called?,Conduction,Convection,Radiation,Induction,C,"Radiation involves heat moving in invisible waves."
2,Heat Transfer,Medium,Convection primarily occurs in which states of matter?,Solids only,Liquids and gases,Solids and liquids,Gases only,B,"Convection occurs when heat moves through liquids or gases."
2,Heat Transfer,Hard,Why does a metal slide feel hotter than a wooden one in the sun?,Wood is a better conductor,Metal is a better conductor,Metal creates its own heat,Wood absorbs more light,B,"Metal conducts heat to your skin faster than wood, making it feel hotter."
2,Heat Transfer,Easy,True or False: Objects must be touching for radiation to occur.,True,False,, ,B,"Radiation moves in waves even if objects aren't touching."
2,Heat Transfer,Medium,Placing hands in different water temperatures helps you observe how?,Gases move,Bodies sense temperature,Light reflects,Water evaporates,B,"Hands-on experiments with water help you see how our bodies sense temperature."
2,Heat Transfer,Hard,What type of energy transfer is happening in a pot of boiling water?,Radiation only,Conduction only,Convection,Static electricity,C,"The movement of the water itself as it heats up is a form of convection."
2,Heat Transfer,Medium,In the provided guide activities like putting butter on spoons are intended to be?,Final exams,Exploratory discussions,Graded as summative,Ignored,B,"Activities are intended to be exploratory and serve as starting points for discussion."
2,Heat Transfer,Easy,If heat enters your skin very fast you will feel?,Cold,Hot,Numb,Nothing,B,"We feel hot based on how fast heat enters our skin."
2,Heat Transfer,Medium,Which is an example of radiation?,A metal rod in a fire,An air conditioner,Feeling the sun's warmth,Stirring hot soup,C,"Feeling the sun's warmth is an example of radiation moving in invisible waves."
2,Heat Transfer,Hard,When heat moves through a solid the particles?,Stay still,Vibrate and pass energy,Fly away,Change color,B,"In conduction, heat moves through solids by direct contact/vibration of particles."
2,Heat Transfer,Easy,According to the module heat travels in how many ways?,Two,Three,Four,Five,B,"Heat can travel in three ways: conduction, convection, and radiation."
2,Heat Transfer,Medium,A teacher might use what to score the lab activities?,A ruler,A rubric,A stopwatch,A calculator,B,"To help score the activities, teachers may use the rubric provided."
2,Heat Transfer,Hard,What is the primary difference between conduction and radiation?,Conduction needs a medium,Radiation needs a solid,Both need contact,Neither needs a medium,A,"Conduction requires direct contact/solids, while radiation travels even if objects aren't touching."
