Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
1,Ideas of Motion,Medium,What did Aristotle believe caused a projectile to keep moving?,Gravity,The air pushing it from behind,Inertia,The soul of the object,B,Aristotle's 'Anti-peristasis' theory claimed air rushed behind to push objects forward.
1,Ideas of Motion,Hard,Which thinker bridged the gap between 'Observation' and 'Math Synthesis'?,Philoponus,Galileo,Buridan,Einstein,B,Galileo was the bridge from the old way of seeing to the new way of calculating.
1,Ideas of Motion,Easy,Whose contribution made physics a 'Relative' concept?,Newton,Einstein,Aristotle,Philoponus,B,Albert Einstein proved that motion looks different depending on where you are.
1,Ideas of Motion,Medium,What happened to the 'Impetus' theory as physics evolved?,It became the Law of Inertia,It was proven wrong by Einstein,It was used to fly planes,It was forgotten,A,The 'Impetus' idea eventually grew into our modern understanding of inertia.
1,Ideas of Motion,Hard,Comparing Aristotle and Einstein: Which used 'Theoretical Proof'?,Aristotle,Einstein,Both,Neither,B,Aristotle stayed with logic; Einstein moved to high-level theoretical math.
1,Ideas of Motion,Medium,Which thinker is known for 'Scholarly Refinement' of motion ideas?,Buridan,Newton,Galileo,Aristotle,A,Buridan looked at existing ideas and polished them into better versions.
1,Ideas of Motion,Easy,Who is the author of the 'Mathematical Synthesis' of motion?,Einstein,Newton,Galileo,Philoponus,B,Newton is the one who 'combined it all' into one math system.
1,Kinematic Quantities,Easy,What is the standard SI unit for distance and displacement?,Kilometers,Meters,Miles,Centimeters,B,In Physics the standard unit of length is the Meter (m).
1,Kinematic Quantities,Easy,Which of these is a vector quantity (has direction)?,Distance,Speed,Displacement,Time,C,Displacement is a vector because it includes both magnitude and direction.
1,Kinematic Quantities,Medium,What is the formula for Average Speed?,s = d/t,s = d * t,s = v + t,s = d^2,A,Speed is calculated as Distance divided by Time.
1,Kinematic Quantities,Medium,Which unit is used to measure Velocity?,m/s^2,m/s,kg*m/s,Newtons,B,Velocity is measured in meters per second (m/s) plus a direction.
1,Kinematic Quantities,Hard,What is the formula for Average Acceleration?,a = (v_f - v_i) / t,a = d / t,a = v * t,a = m * g,A,Acceleration is the change in velocity divided by time.
1,Kinematic Quantities,Easy,What is the standard unit for Acceleration?,m/s,m,m/s^2,km/h,C,Acceleration is meters per second squared (m/s^2).
1,Kinematic Quantities,Medium,How do you calculate Displacement?,Final - Initial Position,Total Path Length,Speed * Acceleration,Mass / Volume,A,Displacement is the straight-line change in position (delta x).
1,Kinematic Quantities,Hard,Average Velocity is defined as what?,Total Distance / Time,Total Displacement / Time,Speed + Direction,Initial Velocity / 2,B,Velocity depends on Displacement whereas Speed depends on Distance.
1,Kinematic Quantities,Easy,Which of the following is a scalar quantity?,Velocity,Acceleration,Force,Speed,D,Speed is scalar; it does not care about the direction you are moving.
1,Kinematic Quantities,Medium,If an object returns to its starting point its displacement is?,Equal to distance,Zero,Positive,Infinite,B,Displacement measures 'how far out of place' an object is; if you are back at start it is 0.
1,Kinematic Quantities,Hard,What does the 'v_f' stand for in the acceleration formula?,Frictional Velocity,Final Velocity,Fast Velocity,Formula Velocity,B,v_f represents the Final Velocity of the object.
1,Kinematic Quantities,Easy,The total path length traveled by an object is called?,Displacement,Position,Distance,Acceleration,C,Distance is the total ground covered regardless of direction.
1,Kinematic Quantities,Medium,Which of these is the correct unit for Time in kinematics?,Hours,Minutes,Seconds,Days,C,The second (s) is the standard SI unit for time.
1,Kinematic Quantities,Hard,What happens to acceleration if velocity is constant?,It increases,It decreases,It is zero,It becomes infinite,C,Acceleration is a CHANGE in velocity; if velocity doesn't change acceleration is zero.
1,Kinematic Quantities,Easy,What is the symbol used for Change in a quantity (like delta)?,Alpha,Beta,Delta (triangle),Omega,C,The Greek letter Delta (Δ) means 'change in'.
1,Kinematic Quantities,Medium,Velocity is different from speed because velocity includes?,Time,Mass,Direction,Gravity,C,Velocity is a vector quantity meaning it must have a direction (e.g. 5m/s North).
1,Kinematic Quantities,Hard,Calculate: If a car goes from 0 to 20m/s in 5s what is the acceleration?,4 m/s^2,100 m/s^2,15 m/s^2,2 m/s^2,A,(20 - 0) divided by 5 equals 4 m/s^2.
1,Kinematic Quantities,Easy,Position is usually represented by which letter in formulas?,P,X,D,M,B,The letter 'x' (or 'y' for vertical) usually represents position on a coordinate system.
1,Kinematic Quantities,Medium,If a runner goes 100m North and 100m South what is their Distance?,0m,100m,200m,50m,C,Distance is the total ground covered (100 + 100 = 200).
1,Kinematic Quantities,Hard,In the formula v = d/t what does the 'd' stand for if we are finding Velocity?,Distance,Density,Displacement,Degrees,C,When calculating Velocity 'd' refers specifically to Displacement.
1,Forces,Easy,Which type of force occurs when two objects are physically touching?,Field Force,Contact Force,Magnetic Force,Electric Force,B,Contact forces require physical interaction between objects.
1,Forces,Easy,Which of the following is an example of a non-contact force?,Friction,Tension,Gravitational Force,Applied Force,C,Gravity acts over a distance without needing physical contact.
1,Forces,Medium,What is another name for non-contact forces?,Direct Forces,Field Forces,Spring Forces,Impact Forces,B,Non-contact forces are often called Field Forces because they act through a field.
1,Forces,Medium,When you pull on a rope what contact force is being exerted?,Normal Force,Friction,Tension,Elastic Force,C,Tension is the force transmitted through a string/rope when it is pulled tight.
1,Forces,Hard,If a book is resting on a table which contact force pushes UP against gravity?,Applied Force,Friction,Normal Force,Air Resistance,C,The Normal Force is the support force exerted by a surface upon an object.
1,Forces,Easy,True or False: Magnetic force is a contact force.,True,False,, ,B,False. Magnetic force is a non-contact/field force.
1,Forces,Medium,Air resistance is actually a type of which force?,Friction,Gravity,Magnetic,Elastic,A,Air resistance is a friction-like force that opposes motion in the air.
1,Forces,Hard,Which force is responsible for a stretched rubber band returning to its shape?,Applied Force,Tension,Elastic Force,Electric Force,C,Elastic (or Spring) force acts to restore an object to its original shape.
1,Forces,Medium,Electric force belongs to which category?,Contact Force,Field Force,Normal Force,Friction,B,Electric force acts between charges even if they are not touching.
1,Forces,Hard,In any interaction how many forces are always identified?,One,A pair (Two),Three,Four,B,Forces always come in pairs according to Newton's Third Law.
1,Force Analysis,Easy,Which of the following describes a force since it has both magnitude and direction?,Scalar,Vector,Integer,Constant,B,Forces are vectors because where you push matters just as much as how hard.
1,Force Analysis,Easy,What is the standard metric (SI) unit for force?,Pound,Dyne,Newton,Kilogram,C,The Newton (N) is the standard unit named after Isaac Newton.
1,Force Analysis,Medium,In a force arrow diagram what does the length of the arrow represent?,Direction,Color,Magnitude (Strength),Time,C,A longer arrow represents a stronger or larger force.
1,Force Analysis,Hard,What is the name of the visual aid used to show all forces acting on an object?,Flowchart,Venn Diagram,Free Body Diagram,Pie Chart,C,A Free Body Diagram (FBD) isolates an object to show the forces acting on it.
1,Force Analysis,Medium,Which of these is NOT a unit of force?,Dyne,Pound-force,Kilogram-force,Meter,D,The Meter is a unit of distance not force.
1,Force Analysis,Hard,A Free Body Diagram should ONLY include?,Forces the object exerts,Forces acting ON the object,Internal energy,The object's history,B,An FBD only shows external forces pushing or pulling the specific object.
1,Force Analysis,Medium,When the forces acting on an object cancel each other out the net force is?,Infinite,Positive,Zero,Double,C,Balanced forces result in a net force of zero.
1,Force Analysis,Hard,If a 10N force pushes right and a 10N force pushes left what is the result?,20N Right,10N Left,Balanced (Zero Net Force),Unbalanced,C,Equal forces in opposite directions cancel out.
1,Force Analysis,Easy,The direction of a force is usually illustrated using a?,Circle,Square,Arrow,Line,C,Arrows are used to show both the direction and the strength of a vector.
1,Force Analysis,Medium,What happens to an object if there is a 'Net Force' acting on it?,It stays still,It disappears,It experiences a change in motion,It loses mass,C,A net force causes an object to accelerate or change its state of motion.
1,Ideas of Motion,Easy,Which physical property determines the amount of inertia an object has?,Speed,Volume,Mass,Gravity,C,Mass is the measure of inertia. The more mass an object has, the harder it is to move or stop.
1,Ideas of Motion,Medium,What did Galileo use to conceptualize the idea of inertia?,Telescopes,Inclined planes,Falling feathers,Magnetism,B,Galileo observed that a ball rolling down one plane and up another would try to reach its original height, showing its tendency to keep moving.
1,Newton's Laws,Easy,Which law states that an object at rest will stay at rest unless a net force acts on it?,Law of Inertia,Law of Acceleration,Law of Interaction,Law of Gravity,A,This is the First Law: objects resist changes to their current state of motion.
1,Newton's Laws,Medium,According to the Second Law if you double the net force on an object what happens to its acceleration?,It stays the same,It is halved,It doubles,It becomes zero,C,Acceleration is directly proportional to force. More push equals more acceleration.
1,Newton's Laws,Hard,If you push a wall with 50N of force how much force does the wall push back with?,0N,25N,50N,100N,C,The Third Law states every action has an equal and opposite reaction.
1,Newton's Laws,Medium,The Law of Acceleration states that acceleration is inversely proportional to what?,Force,Mass,Time,Distance,B,Inversely proportional means as mass increases, acceleration decreases (it is harder to speed up heavy things).
1,Newton's Laws,Easy,Which law is also known as the Law of Interaction?,First Law,Second Law,Third Law,Law of Universal Gravitation,C,The Third Law focuses on how two objects interact through force pairs.
1,Newton's Laws,Hard,A seatbelt protects you during a sudden stop by overcoming your tendency to keep moving. Which law is this?,First Law,Second Law,Third Law,Law of Heat,A,Your body has inertia and wants to keep moving forward; the seatbelt provides the net force to stop you.
1,Newton's Laws,Medium,What is the mathematical formula often associated with Newton's Second Law?,E=mc^2,s=d/t,F=ma,v=d/t,C,Force equals mass times acceleration (F=ma).
1,Newton's Laws,Hard,Newton's Third Law forces always act on?,The same object,Two different objects,Only objects at rest,Only objects in space,B,Action and reaction forces always act on different objects (e.g., your hand and the wall).
1,Newton's Laws,Easy,If an object has a net force of zero acting on it what is its acceleration?,Increasing,Decreasing,Zero,Constant,C,According to the Second Law, if there is no net force, there is no acceleration.
1,Newton's Laws,Medium,Which law explains why a recoil is felt when firing a cannon?,First Law,Second Law,Third Law,None of the above,C,The cannon pushes the ball forward (action), and the ball pushes the cannon backward (reaction).
1,Collisions,Easy,The Law of Conservation of Momentum applies only to what kind of system?,Open,Isolated (Closed),Large,Small,B,An isolated system means no external net forces (like friction) are acting on the objects.
1,Collisions,Medium,In a collision the total momentum before the hit is ______ the total momentum after.,Greater than,Less than,Equal to,Double,C,Momentum is conserved, meaning it stays the same before and after the interaction.
1,Collisions,Hard,If two objects collide and stick together what is this type of collision called?,Elastic,Inelastic,Explosive,Inversely proportional,B,In an inelastic collision, objects stick together and move as one mass after impact.
1,Collisions,Medium,If a moving pool ball hits a stationary one and stops, what happens to its momentum?,It disappears,It is destroyed,It is transferred to the other ball,It turns into heat,C,The momentum is transferred from the first ball to the second ball.
1,Collisions,Hard,What is the mathematical equation for conservation of momentum?,F=ma,p=mv,m1v1 + m2v2 = m1v1' + m2v2',s=d/t,C,This formula shows that the sum of momenta before equals the sum after.
1,Collisions,Easy,True or False: Momentum can be created or destroyed in an isolated system.,True,False,, ,B,False. Momentum can only be transferred or redistributed, never created or destroyed.
1,Collisions,Medium,A 2kg ball moving at 3m/s hits a 1kg ball at rest. What is the total initial momentum?,2 kg*m/s,3 kg*m/s,6 kg*m/s,0 kg*m/s,C,Total momentum = (2*3) + (1*0) = 6 kg*m/s.
1,Collisions,Hard,In an 'Elastic' collision, what else is conserved besides momentum?,Force,Kinetic Energy,Gravity,Friction,B,In a perfectly elastic collision, no kinetic energy is lost to heat or sound.
1,Collisions,Medium,Why does a gun recoil when fired?,Momentum is created,Air pressure,Conservation of momentum,Gravity,C,The forward momentum of the bullet must be balanced by the backward momentum of the gun.
1,Collisions,Hard,If a 50kg skater throws a 5kg ball forward, the skater moves backward. This is because?,The ball is heavy,The total momentum must remain zero,Friction is low,Gravity is weak,B,Since they started at rest (0 momentum), the forward and backward momenta must cancel out to 0.
1,Collisions,Easy,If kinetic energy is lost during a collision, what is it called?,Elastic,Inelastic,Static,Relative,B,Inelastic collisions lose energy to things like heat, sound, or deformation.
1,Collisions,Medium,In which type of collision is Kinetic Energy NOT lost?,Inelastic,Elastic,Explosive,Frictionless,B,In a perfectly elastic collision, the total kinetic energy remains the same.
1,Collisions,Hard,Which real-world system is often used to 'mimic' an elastic collision?,Car crash,Billiards (Pool),Tennis ball hitting a wall,Dropping an egg,B,Billiard balls are very hard and lose very little energy, acting nearly perfectly elastic.
1,Collisions,Medium,True or False: Perfectly elastic systems exist throughout the physical universe.,True,False,, ,B,False. In the real world, some energy is always lost to sound or heat.
1,Collisions,Hard,If two objects stick together after colliding, what kind of collision is it?,Perfectly Elastic,Inelastic,Magnetic,Kinematic,B,Sticking together is the ultimate sign of an inelastic collision where energy is lost.
1,Collisions,Easy,In BOTH elastic and inelastic collisions, what is ALWAYS conserved?,Kinetic Energy,Velocity,Momentum,Acceleration,C,Momentum is conserved in all collisions, but Kinetic Energy is only conserved in Elastic ones.
1,Collisions,Medium,What happens to the 'lost' kinetic energy in an inelastic collision?,It is destroyed,It turns into other forms like heat/sound,It becomes gravity,It disappears,B,Energy is never destroyed; it just changes into non-mechanical forms like sound or heat.
1,Collisions,Hard,In a car crash where the bumpers get crushed, the collision is?,Elastic,Inelastic,Static,Equilibrium,B,The crushing of the metal (deformation) is a clear sign that kinetic energy was used up.
1,Collisions,Medium,A 'Bounce' where no energy is lost would be labeled as?,Elastic,Inelastic,Plastic,Impulsive,A,An elastic collision is characterized by a perfect bounce with energy conservation.
1,Collisions,Hard,Why is an egg hitting the floor an inelastic collision?,It bounces high,It breaks and loses energy,It gains mass,It stays elastic,B,The energy goes into breaking the shell and making a sound, rather than bouncing.
